Model,MAE,MSE,RMSE,R2 Score
Linear Regression,19.28496107799852,622.3638513116076,24.94722131443916,0.6943488059944719
Decision Tree,20.152099999999997,818.8607543333334,28.61574312041072,0.5978465542965209
Random Forest,14.821429666666663,455.7343877474334,21.34793638147335,0.7761827595371728
Support Vector Regressor,32.67152737679846,2202.182772449907,46.92742026203771,-0.08152135185741671
